361,Males,86,Education,2005
362,Males,11,Applied Arts,2005
363,Males,351,Humanities & Social Sciences,2005
364,Males,36,Mass Communication,2005
365,Males,211,Accountancy,2005
366,Males,322,Business & Administration,2005
367,Males,62,Law,2005
368,Males,321,"Natural, Physical & Mathematical Sciences",2005
369,Males,123,Medicine,2005
370,Males,22,Dentistry,2005
371,Males,16,Health Sciences,2005
372,Males,363,Information Technology,2005
373,Males,138,Architecture & Building,2005
374,Males,2887,Engineering Sciences,2005
375,Males,na,Services,2005
376,Females,278,Education,2005
377,Females,11,Applied Arts,2005
378,Females,1027,Humanities & Social Sciences,2005
379,Females,110,Mass Communication,2005
380,Females,495,Accountancy,2005
381,Females,799,Business & Administration,2005
382,Females,125,Law,2005
383,Females,674,"Natural, Physical & Mathematical Sciences",2005
384,Females,86,Medicine,2005
385,Females,12,Dentistry,2005
386,Females,69,Health Sciences,2005
387,Females,199,Information Technology,2005
388,Females,234,Architecture & Building,2005
389,Females,1241,Engineering Sciences,2005
390,Females,na,Services,2005
