211,Males,35,Education,2000
212,Males,na,Applied Arts,2000
213,Males,574,Humanities & Social Sciences,2000
214,Males,34,Mass Communication,2000
215,Males,250,Accountancy,2000
216,Males,328,Business & Administration,2000
217,Males,74,Law,2000
218,Males,378,"Natural, Physical & Mathematical Sciences",2000
219,Males,119,Medicine,2000
220,Males,17,Dentistry,2000
221,Males,11,Health Sciences,2000
222,Males,348,Information Technology,2000
223,Males,101,Architecture & Building,2000
224,Males,2267,Engineering Sciences,2000
225,Males,na,Services,2000
226,Females,115,Education,2000
227,Females,na,Applied Arts,2000
228,Females,1452,Humanities & Social Sciences,2000
229,Females,80,Mass Communication,2000
230,Females,495,Accountancy,2000
231,Females,851,Business & Administration,2000
232,Females,79,Law,2000
233,Females,655,"Natural, Physical & Mathematical Sciences",2000
234,Females,37,Medicine,2000
235,Females,15,Dentistry,2000
236,Females,30,Health Sciences,2000
237,Females,187,Information Technology,2000
238,Females,192,Architecture & Building,2000
239,Females,682,Engineering Sciences,2000
240,Females,na,Services,2000
