181,Males,44,Education,1999
182,Males,na,Applied Arts,1999
183,Males,576,Humanities & Social Sciences,1999
184,Males,19,Mass Communication,1999
185,Males,297,Accountancy,1999
186,Males,349,Business & Administration,1999
187,Males,92,Law,1999
188,Males,401,"Natural, Physical & Mathematical Sciences",1999
189,Males,104,Medicine,1999
190,Males,18,Dentistry,1999
191,Males,14,Health Sciences,1999
192,Males,355,Information Technology,1999
193,Males,104,Architecture & Building,1999
194,Males,2200,Engineering Sciences,1999
195,Males,na,Services,1999
196,Females,158,Education,1999
197,Females,na,Applied Arts,1999
198,Females,1492,Humanities & Social Sciences,1999
199,Females,93,Mass Communication,1999
200,Females,482,Accountancy,1999
201,Females,905,Business & Administration,1999
202,Females,77,Law,1999
203,Females,674,"Natural, Physical & Mathematical Sciences",1999
204,Females,41,Medicine,1999
205,Females,14,Dentistry,1999
206,Females,77,Health Sciences,1999
207,Females,218,Information Technology,1999
208,Females,167,Architecture & Building,1999
209,Females,492,Engineering Sciences,1999
210,Females,na,Services,1999
